gene_id	count
Gene1	25
Gene2	50
Gene3	48
Gene4	51
Gene5	40
Gene6	28
Gene7	38
Gene8	35
Gene9	39
Gene10	56
Gene11	23
Gene12	27
Gene13	13
Gene14	45
Gene15	35
Gene16	27
Gene17	39
Gene18	43
Gene19	41
Gene20	42
Gene21	38
Gene22	36
Gene23	19
Gene24	64
Gene25	51
Gene26	18
Gene27	23
Gene28	38
Gene29	46
Gene30	49
Gene31	52
Gene32	21
Gene33	34
Gene34	22
Gene35	45
Gene36	32
Gene37	21
Gene38	23
Gene39	35
Gene40	30
Gene41	25
Gene42	50
Gene43	29
Gene44	50
Gene45	41
Gene46	19
Gene47	41
Gene48	14
Gene49	32
Gene50	48
Gene51	15
Gene52	34
Gene53	34
Gene54	35
Gene55	39
Gene56	22
Gene57	12
Gene58	22
Gene59	25
Gene60	40
Gene61	14
Gene62	37
Gene63	29
Gene64	27
Gene65	37
Gene66	30
Gene67	33
Gene68	35
Gene69	15
Gene70	39
Gene71	32
Gene72	55
Gene73	26
Gene74	46
Gene75	36
Gene76	30
Gene77	45
Gene78	54
Gene79	35
Gene80	43
Gene81	29
Gene82	30
Gene83	30
Gene84	50
Gene85	33
Gene86	33
Gene87	36
Gene88	34
Gene89	38
Gene90	23
Gene91	18
Gene92	41
Gene93	40
Gene94	39
Gene95	58
Gene96	51
Gene97	30
Gene98	22
Gene99	40
Gene100	28
